Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@PTJASAMARGA,"Halo Sobat Balsam 

Dalam rangka mendukung pekerjaan Erection Girder pada Proyek Pembangunan Jalan Tol IKN Seksi 3A-2 Segmen Karangjoang-KKT Kariangau, akan dilakukan pengalihan lalu lintas untuk pengguna jalan Tol Balikpapan-Samarinda.

 Akses Tol arah Manggar → Samarinda",,,,"Replies: , Retweets: , Likes: ",1
@VIVAcoid,"Head of the Nusantara Capital Authority (OIKN), Basuki Hadimuljono, has requested an additional budget of Rp15.5 trillion for 2027.

The proposed budget increase will be used to meet the development targets for IKN in 2028.

The proposal was presented by Basuki during a Working",,,,"Replies: 8, Retweets: 7, Likes: 10",1
@RadioElshinta,Wamen ATR/BPN minta jajaran di Kaltim jadi solusi pembangunan IKN,,,,"Replies: , Retweets: , Likes: ",1
@BorobudurNews_," OIKN AJUKAN TAMBAHAN ANGGARAN RP15,5 TRILIUN UNTUK PERCEPAT PEMBANGUNAN IKN

Otorita Ibu Kota Nusantara (OIKN) mengusulkan tambahan anggaran sebesar Rp15,5 triliun untuk Tahun Anggaran 2027 guna mempercepat penyelesaian pembangunan Ibu Kota Nusantara (IKN).",,,,"Replies: , Retweets: , Likes: ",1
@VIVAcoid,Basuki Requests Additional Budget of Rp15.5 Trillion to Chase IKN Development Target in 2028,,,,"Replies: 1, Retweets: 1, Likes: 2",1
@IDNTimesKaltim,Empat Kampus Nasional Diajak Terlibat Langsung dalam Pembangunan IKN,,,,"Replies: , Retweets: , Likes: ",1
@andri_anto7121,"Batu bara yg ada dkt kawasan IKN itu sdh byk dirampok mafia dari cina + oknum lokal tp mereka sekarang mulai takut sebagian sdh pd kabur setelah adanya pembangunan IKN itu 
@anandasaja",@anandasaja,,,"Replies: , Retweets: , Likes: 1",0
@andri_anto7121,"Meskipun nt sdh resmi jd pusat pemerintahan insyaAllah nt IKN jg akan tetap jd lokasi wisata dunia & nt kl sdh selesai total pembangunan IKN dgn fasilitas lengkap insyaAllah nt jg akan jd tempat hunian favorit yg damai & unik nt jg mungkin aku akan pindah ke sana 
@anandasaja",@anandasaja,,,"Replies: 1, Retweets: , Likes: ",1
@eopediaa,"OH TENTU TIDAK

PELAKU KORUPSI  HARUS DIHUKUM MATI
DAN MASIH BANYAK LAGIIII
PEMBANGUNAN IKN GA DILANJUT?",,@menbrrr,,"Replies: , Retweets: , Likes: ",0
@chocoby95,"Lucienne sedang presentasi dan Mas Arya menjelaskan visi misi pembangunan proyek IKN
Jadi inget tu AU belom update di wetpet",,,@recurciel,"Replies: , Retweets: , Likes: ",1
@bellavi65,"Nusantara tumbuh sebagai pusat pemerintahan modern yang mengedepankan keberlanjutan, inovasi, dan keseimbangan pembangunan nasional.

#IKN #NusantaraBaru #IndonesiaEmas #PembangunanBerkelanjutan",,,@bellavi65,"Replies: , Retweets: , Likes: ",1
@bellavi65,"IKN menjadi langkah strategis untuk mewujudkan pembangunan yang lebih merata dan inklusif di seluruh Indonesia. Dari Nusantara, masa depan dibangun bersama.

#IKN #Nusantara #IndonesiaMaju #PemerintahHadir",,,@bellavi65,"Replies: , Retweets: , Likes: ",1
@bellavi65,"Pembangunan IKN bukan hanya membangun ibu kota baru, tetapi juga membuka peluang ekonomi, investasi, dan lapangan kerja bagi masyarakat Indonesia.

#IKN #NusantaraBaru #IndonesiaMaju #PembangunanBerkelanjutan",,,@bellavi65,"Replies: , Retweets: , Likes: ",1
@bellavi65,"IKN adalah simbol pemerataan pembangunan Indonesia. Dari Nusantara, semangat kemajuan, inovasi, dan kolaborasi terus tumbuh untuk masa depan bangsa yang lebih baik.

#IKN #Nusantara #IndonesiaMaju #PemerataanPembangunan",,,@bellavi65,"Replies: , Retweets: , Likes: ",1
@KerjaHasil_id,"Pembangunan IKN terus berjalan.

Investasi masuk dari Abu Dhabi sebesar Rp10 triliun untuk bangun kawasan perkantoran dan pusat perbelanjaan. Investor dari China mulai bangun apartemen dan kawasan perkantoran.

Hingga saat ini  investasi yang masuk Rp 73 triliun. #prabowogibran",,,,"Replies: 1, Retweets: , Likes: 2",1
@Wawan_AchmadM,"ini proyek ambisius jokowi sama halnya dgn kereta cepat yg akhirnya menjadi beban APBN? sedangkan didalam negeri masih banyak kebutuhan yg lebih penting. Jakarta sebenarnya masih memadai sebagai ibu kota, jadi pembangunan IKN belum begitu urgent?",,@Mdy_Asmara1701,,"Replies: , Retweets: , Likes: ",0
@ikn_id,"Ke depannya, Otorita IKN menargetkan lahirnya generasi masa depan yang sepenuhnya bebas stunting, membuktikan bahwa pembangunan infrastruktur yang megah di Nusantara berjalan selaras dengan pembentukan fondasi sumber daya manusia yang unggul dan berkualitas.",,@ikn_id,,"Replies: , Retweets: , Likes: ",1
@SimpsonsCapital," Jika IKN mau ada Investor, Buatlah sirkuit F1 di Balikpapan. Pasti yang datang adalah orang-orang konglomerat. MOTOGP itu ga kuat untuk marketing, karena yang nonton moto gp marketnya beda

Jokowi emang ndableg! gak ngerti masalah bernegara! Thailand bisa kuat dan maju karena",,,@SimpsonsCapital,"Replies: , Retweets: , Likes: ",0
@TeddyPostID,Seskab Teddy tinjau langsung progres pembangunan SMA Taruna Nusantara di Ibu Kota Nusantara (IKN). Pastikan fasilitas pencetakan sdm unggul & calon pemimpin bangsa berjalan on-track.,,,,"Replies: , Retweets: , Likes: ",1
@pratman66,nantinya kerja apa disana ? siapa masyarakat yang akan dilayani ? atau hanya akan mengawal proyel k penyelesian pembangunan IKN ?,,@creeping5ilence,,"Replies: , Retweets: , Likes: ",1
@walkmoonh,"kopi nya sama harganya kek dikorea selatan tapi UMR nya bagaikan langit dan bumi
APBN nya ga pernah kerasa dimna-mana
pembangunan ga merata, korupsi dimana-mana
uang negara dibuang dg program ga jls 
IKN yg jdi lahan kuyang doang itu",,,@dsuperboy,"Replies: , Retweets: , Likes: ",0
@andri_anto7121,"Dan byk ruh leluhur zaman antlantis yg bertugas lg mengarahkan para arsitek pembangunan di kawasan IKN itu yg nt di kawasan IKN itu jk  sdh selesai total  pembangunannya akan jd sgt indah & unik krn akan dirancang lebih mirip seperti pusat pemerintah kota Atlantis dl 
@anandasaja",@anandasaja,,,"Replies: , Retweets: , Likes: ",1
@idx_channel,"The Head of the Nusantara Capital Authority (OIKN), Basuki Hadimuljono, emphasized that the weakening of the rupiah exchange rate against the US dollar has not yet had a significant impact on development in IKN.

""Not yet. There hasn't been any (complaints). There hasn't been any",,,,"Replies: 1, Retweets: , Likes: ",0
@a_doni95,"Indonesia ekonomi outlook tetapi sepertinya predictable 
mungkin sejak sekitar tahun 2018, 
IKN titik nol  kick off proyek pembangunan IKN 

begitu ?",,@PDI_Perjuangan,,"Replies: , Retweets: , Likes: ",1
@TirtoID,"DPR Building Construction Progress in IKN Reaches 10%, Completion Target 2027",,,,"Replies: , Retweets: , Likes: ",1
@leonardathens,"Otorita IKN mengusulkan tambahan anggaran Rp 15,5 triliun pada 2027 untuk mempercepat pembangunan Ibu Kota Nusantara (IKN) agar dapat berfungsi sebagai ibu kota negara pada 2028.⁠ Kepala Otorita IKN Basuki Hadimuljono menjelaskan, total kebutuhan pembangunan kawasan legislatif,",,,,"Replies: , Retweets: , Likes: ",1
@hypekompascom,"Band Slank released a song titled ""Rusak Ancur"" on Saturday (6/6/2026).

The song ""Rusak Ancur"" highlights the granting of mining permits, policies on dredging and exporting sea sand, up to the development project of the Nusantara Capital City (IKN). 


https://
entertainment.kompas.com/read/2026/06/0
5/190258566/slank-rilis-album-ke-26-republik-fufufafa
…

/",,,,"Replies: 1, Retweets: , Likes: ",1
@Mdy_Asmara1701,"The IKN Authority is requesting an additional budget of Rp15.5 trillion for 2027 to realize the new capital city by 2028. The total needs until 2028 reach Rp48.8 trillion.

Many questions arise: the budget keeps increasing, the legal status remains unclear, priorities are seen as",,,,"Replies: 11, Retweets: 29, Likes: 37",1
@akuratco,"State Agency Offices in IKN Targeted for Completion by 2027, with Gradual Relocation

The development of the state agency office area in the Nusantara Capital (IKN) is targeted for completion by the end of 2027.

Once the main facilities are finished, several government agencies",,,,"Replies: 1, Retweets: , Likes: 1",1
@ikn_id,"Babak baru sejarah pembangunan Nusantara telah dimulai! Setelah melalui rangkaian seleksi dan masa penempaan karakter sejak Agustus 2024, angkatan pertama PNS Otorita IKN kini resmi dilantik dan bersiap menjadi motor penggerak ekosistem pemerintahan yang tangkas dan inovatif.",,,,"Replies: 1, Retweets: , Likes: 3",1
@ArifLabMed,"Hentikan pembangunan IKN, hentikan operasional Whoosh, tidak ada dalam tuntutan. 

Fix demo para ternak mulyono",,@indepenSumatera,,"Replies: , Retweets: 1, Likes: ",0
@WartaEkonomi,"Target menjadikan IKN sebagai ibu kota negara pada 2028 terus dikebut. Namun, Otorita IKN mengungkap masih ada kekurangan anggaran yang nilainya mencapai Rp15,5 triliun.

Ke mana saja dana tersebut akan digunakan? Dan seberapa besar kebutuhan total pembangunan IKN ke depan?

Baca",,,,"Replies: 1, Retweets: , Likes: ",0
@bdg_bersatu45,Bersama Dukung Pembangunan IKN Nusantara,,,,"Replies: , Retweets: , Likes: ",1
@bdg_bersatu45,Manfaat Pembangunan IKN Nusantara,,,,"Replies: , Retweets: , Likes: ",1
@bdg_bersatu45,Tahapam Pembangunan IKN Nusantara,,,,"Replies: , Retweets: , Likes: ",1
@VIVAcoid,"The Head of the Nusantara Capital Authority (OIKN), Basuki Hadimuljono, stated that there has been no significant impact from the weakening of the rupiah exchange rate against the US dollar on the IKN development project.

He added that, to date, there have been no complaints",,,,"Replies: 2, Retweets: 3, Likes: 9",1
@chang_iran,"Since the '90s, becoming Soeharto (Father of Development), Habibie (Father of Democracy), Gusdur (Father of Tolerance), Megawati (Founder of KPK), SBY (Father of the Economy), Jokowi (Father of IKN), are they all misguided?",,@tempodotco,,"Replies: , Retweets: , Likes: 1",0
@frans_watu,"Anggaran Rp14 Triliun Disetujui, Pemkot dan Kemendikdasmen Percepat Pembangunan 100 Sekolah Nasional Terintegrasi 
https://
kampiunnews.com/anggaran-rp14-
triliun-disetujui-pemkot-dan-kemendikdasmen-percepat-pembangunan-100-sekolah-nasional-terintegrasi/
… #PendidikanIndonesia #PrabowoSubianto #AbdulMuti #Kemendikdasmen #RevitalisasiSekolah #SekolahTerintegrasi #GenerasiEmas #Pendidikan3T #IKN",,,,"Replies: , Retweets: , Likes: ",1
@kantahkabtorut,"#repost 
@kem_atrbpn
 
Halo #SobATRBPN, semangat senin ya!

Untuk memulai pekan ini, yuk simak rangkuman kegiatan Menteri ATR/Kepala BPN, Nusron Wahid dan Wakil Menteri ATR/Wakil Kepala BPN, Ossy Dermawan selama satu minggu ke belakang di pertengahan bulan Juni melalui video",@kem_atrbpn,,,"Replies: , Retweets: , Likes: 1",1
@kantahsintang,"#Repost 
@kementerian
.atrbpn
Halo #SobATRBPN, Sektor pertanahan memiliki peran strategis dalam mendukung pelaksanaan Asta Cita Presiden. Hal tersebut disampaikan Wakil Menteri Agraria dan Tata Ruang/Wakil Kepala BPN, Ossy Dermawan,",@kementerian,,,"Replies: , Retweets: , Likes: ",1
@ManElephan57654,"Otorita IKN Usul Tambahan Anggaran Rp 15,5 Triliun, Kejar Target Jadi Ibu Kota 2028

Klik untuk baca:",,,,"Replies: , Retweets: , Likes: ",1
@wpamuji,"Anggaran MBG setahun 4x lipat IKN (5tahun) , tp ko  DPR diam ya? Parpol apa lagi..",,@VIVAcoid,,"Replies: , Retweets: , Likes: ",0
@dimarsasongko98,"Source: 

1. State Budget Rp 89 trillion (statement by Basuki Hadimuljono/OIKN):
 
https://
cnbcindonesia.com/news/202510300
83154-4-680575/segini-total-uang-negara-yang-sudah-dihabiskan-buat-bangun-ikn
…

2. Total State Budget allocation 2022–2024 Rp 75.8 trillion (Antara/Ministry of Finance):
 
https://
kaltim.antaranews.com/berita/247332/
menkeu-dana-apbn-untuk-ikn-berlanjut-pada-2026-rp63-triliun
…
3. Foreign investors zero (admission by Bahlil in DPR):",,@dimarsasongko98,,"Replies: , Retweets: , Likes: 5",1
@dancersejati07,"2. Korupsi bapaknya ngalir ke anaknya?

Bapaknya Said Abdullah ketua banggar DPR dari PDIP, gampang banget kasih anggaran IKN.

14/10/2024:
""Sang Kaisar Putra Ketua Banggar DPR RI Berharta Rp 621,6 Miliar""

#RakyatTolakBlusukanJokowi
#RakyatTolakBlusukanJokowi",,@dancersejati07,,"Replies: , Retweets: , Likes: ",1
@fluttyfluppy,"Pola yg sama pas bangun IKN dan woosh. Anggaran luarbiasa besar tp g mendengar pendapat ahli, asal bapak senang aja. Akhirnya jd proyek yg merugikan negara.",,@Jelli_cent,,"Replies: , Retweets: , Likes: ",0
@dancersejati07,"2. Korupsi bapaknya ngalir ke anaknya?

Bapaknya Said Abdullah ketua banggar DPR dari PDIP, gampang banget kasih anggaran IKN.

14/10/2024:
""Sang Kaisar Putra Ketua Banggar DPR RI Berharta Rp 621,6 Miliar"" 

#MBGBiangnyaKoruptor
#MBGBiangnyaKoruptor",,@dancersejati07,,"Replies: , Retweets: , Likes: ",1
@Rez1mDoyanKorup,"Said Abdullah kelihatan korupnya itu ketika dengan lancar menyetujui berapa pun anggaran yang diminta untuk IKN
#MBGBiangnyaKoruptor 
#MBGBiangnyaKoruptor",,@Freedomland5151,,"Replies: 1, Retweets: 1, Likes: 1",0
@MichelAdam1515,"Does his father's corruption flow to his son?

His father Said Abdullah is the head of Banggar DPR from PDIP, super easy to allocate the IKN budget.
#MBGBiangnyaKoruptor 

14/10/2024:
""The Emperor's Son, Head of Banggar DPR RI, Has Assets of Rp 621.6 Billion""
#MBGBiangnyaKoruptor",,,,"Replies: 2, Retweets: 14, Likes: 21",0
@wintrsnowflake,"Eradicating corruption but he's the root of corruption, just prosecute Mulyono if you're brave, IKN's his idea. It's stalled, draining the budget dry.",,@yappingfess,,"Replies: , Retweets: , Likes: ",0
@azureleight,"I thought dengan logika sepayah apapun juga bakal bisa ngerti kalau program MBG yang dia bawa-bawa sejak kampanye tuh GAK MASUK AKAL. Udah duit kebuang-buang buat IKN, masih mau bikin program yang makan anggaran BESAR buat impact yang gak mendasar.",,,@doojacat,"Replies: , Retweets: , Likes: ",0
@mumtazxmr,"Anggaran Negara:
Defisit APBN hingga akhir Mei 2026 tercatat 0,7% terhadap PDB — naik dari 0,6% bulan sebelumnya. 

Realisasi belanja negara Rp1.365 triliun, naik 34,4% YoY — jauh melampaui laju pertumbuhan pendapatan yang hanya naik 19,1% YoY. 

Belanja tumbuh dua kali lebih",,@mumtazxmr,,"Replies: 1, Retweets: , Likes: ",0
@MichelAdam1515,"Said Abdullah PDIP ini kerjanya kasih berapapun Luhut dan Jokowi minta anggaran, misalnya IKN. Padahal mereka tidak memberikan paparan dan rincian anggaran yang diminta. Ini menyalahi UU APBN
#GegaraMBGNegaraChaos 
#GegaraMBGNegaraChaos",,,@dimarsasongko98,"Replies: 1, Retweets: 31, Likes: 22",0
@azp__,"Kegiatan yang kaga berfaedah karena nggak ada perencanaan matang sedari awal, apalagi si joko itu bikin BGN cuma buat percepatan program yang harusnya dirapatkan dan diproses lebih matang, ini anggaran g main main. IKN aja bituh beberapa tahun buat fix apalagi ini yg anggaran",,@ardisatriawan,,"Replies: , Retweets: , Likes: ",0
@MrFulkan,"Bikin bangunan sih buanyak perusahaan kontraktor yg bisa … gt aja bangga. Rakyat  masih menunggu audit 
@bpkri
 
@KPK_RI
 , BPKP & auditor independen dari anggaran jumbo IKN","@bpkri, @KPK_RI",@zy_zy_lestary,,"Replies: , Retweets: , Likes: ",1
@wong_kanung,"Yuk bisa yuk kementerian mana lagi yang minta anggaran ditengah kondisi carut marut negara? 
1. Kemenhan
2. Kemensos
3. Badan otorita IKN
4. Kemenkop
5. .......... 
6. .........",,@e100ss,,"Replies: , Retweets: , Likes: ",0
@idx_channel,"The Nusantara Capital Authority (IKN) has requested an additional budget of Rp15.5 trillion from the 2027 State Revenue and Expenditure Budget Plan (RAPBN) ceiling. The extra funds are needed in line with the target of establishing IKN as the capital in 2028.

The proposal was",,,,"Replies: 2, Retweets: , Likes: 2",1
@hariankompas,"IKN adalah aset negara sehingga pembangunannya perlu berkesinambungan. Namun, pembangunannya tetap harus memperhatikan efisiensi anggaran. #Polhuk #Kompas61",,,,"Replies: , Retweets: , Likes: 2",0
@suaradotcom,"IKN dikejar tayang menuju 2028, dan konsekuensinya tidak murah. Basuki Hadimuljono mengusulkan tambahan anggaran Rp15,5 triliun karena dana yang tersedia dinilai belum cukup. Wow!

Baca selengkapnya: 
https://
suara.com/news/2026/06/1
1/145318/kejar-tayang-ikn-2028-basuki-minta-tambahan-anggaran-rp155-triliun-ke-dpr
…

#IKN #tambahananggaran #basuki DR",,,,"Replies: , Retweets: , Likes: ",0
@Bisniscom,The Nusantara Capital Authority (OIKN) has revealed that it still requires an additional budget allocation of Rp3.2 trillion this year to support the continuation of infrastructure development for the State Capital (IKN) Nusantara. Head of OIKN Basuki Hadimuljono…,,,,"Replies: , Retweets: 2, Likes: 2",1
@kumparan,"The IKN Authority proposes an additional budget of Rp 15.5 trillion in 2027 to accelerate the development of the Nusantara Capital (IKN) so that it can function as the state capital in 2028.

Head of the IKN Authority Basuki Hadimuljono explained that the total funding needs for",,,,"Replies: 46, Retweets: 29, Likes: 46",1
@AnakBawang55,"Dari dulu, setiap ada proyek pemerintah pusat dengan anggaran jumbo, pasti ujung2nya bermasalah/dikorupsi,, mulai dari hambalang, e ktp, menara bts dan skr mbg,, ditunggu kopdes merah putih dan proyek ikn,, ",,@LambeSahamjja,,"Replies: , Retweets: , Likes: ",0
@Alfinfadhil26,"Emang ganti pemain aja tp ada  proyek gede punya presiden yg dikritik itu memang membebankan negara co : kereta cepet ikn lalu terlalu bnyk bikin jalan tol
Trs yg kritik dblg mau ganti presiden pdhl simpel itu soal penggunaan anggaran yg tepat aja",,@Alfinfadhil26,,"Replies: , Retweets: , Likes: ",0
@itsSanoor,yapp semoga ga jadi program mangkrak yang abisin banyak anggaran kayak IKN,,@kamarlintang,,"Replies: , Retweets: , Likes: ",0
@nurmannurakhmad,"Aneh. Ketika rakyat meminta layanan publik yang lebih baik, jawabannya selalu ""anggaran terbatas"". Tetapi ketika muncul proyek raksasa (IKN, MBG) yang manfaatnya masih diperdebatkan, anggaran mendadak menjadi konsep yang sangat fleksibel.

Mungkin memang ada dua jenis kebutuhan",,,@ebednoorjaman,"Replies: , Retweets: , Likes: 2",1
@iwanwidi22,"IKN is useless, the capital stays in JKT... just wasting the budget, obviously the abandoned buildings that are no use are still being maintained",,@zy_zy_lestary,,"Replies: , Retweets: , Likes: 1",0
@SPEEDY_EDI,Kalau IKN?...buang anggaran gak tuh?..,,@virdianaurellio,,"Replies: , Retweets: , Likes: ",0
@romi_mr,"food estate adalah duplikasi yang lebih buruk dari program sebelumnya : PSN dan IKN, belum lagi Giant Sea Wall nya 
@KemenkoInfra
  metode yang sama terus diulang, hanya membuang anggaran besar tanpa pernah berhasil. Ini perencanaan sebagai ideologi, bukan sebagai solusi",@KemenkoInfra,@romi_mr,,"Replies: 1, Retweets: , Likes: ",0
@hp_arel,malah nambah anggaran saja nih... kacau... emang IKN berfunsi sebagai apa skr...???,,@zy_zy_lestary,,"Replies: , Retweets: , Likes: ",0
@SistersInDanger,"Padahal pemerintah yang boros luar biasa dengan proyek IKN, Whoosh, dll sampe MBG yang penuh masalah tata kelola, korupsi, bahkan keracunan makanan 37.637 anak sekolah, balita, ibu menyusui/hamil, guru dll. Bukannya stop & evaluasi penggunaan anggaran negara, malah nyalahin ibu2.",,@SistersInDanger,,"Replies: 1, Retweets: 3, Likes: 7",0
@still_hendro,Sesuai keputusan MA. Ibukota negara kesatuan RI tetap di DKI Jakarta. Trs utk apa bangun IKN ngabisin anggaran yg amat buanyak kl gak jd ibukota negara kita ? Jgn mentang-2 kebodohan gratis diborong semuanya ,,@zy_zy_lestary,,"Replies: , Retweets: , Likes: ",0
@beni_trisura,"Even though we are small people, poor, who have no power, but use LOGIC in everything, because people who think LOGICALLY won't get scammed, won't be easily fooled, deceived like the narrative above!! Because IKN is useless for justice, welfare, clearly just a waste of budget.",,@zy_zy_lestary,,"Replies: 2, Retweets: 2, Likes: 22",0
@Ammar_1908,"MAMPUS HARGA PERTAMAX & GREEN NAIKNYA GILA-GILAAN!!!
Brengsek emang efek Domino buang-buang anggaran pembangunan IKN, program MBG, dan Korupsi di mana mana!!!
#FuckTheSystem",,,,"Replies: , Retweets: , Likes: ",0
@kebohejoreborn,"As a non-02 voter from last year's presidential election. The research from 0103 supporters could already predict it, right? If 02 wins, it'll be chaos.

The principle is SUSTAINABLE, which is IKN going ahead (costing so many T—turns out it's a little—)

There's MBG that's from",,@iman_hzl19,,"Replies: 1, Retweets: 3, Likes: 44",1
@buchindomie,"Sumpah lucu bgt. 
Jd keinget waktu pemilihan kemarin, rata2 yg milih 02 krn tau klo mereka se misi. Dan ketepatan jg anaknya naik. Pada mikir, setidaknya ikn bakal ""dilanjutkan"". Soalnya eman2 anggaran dah gede masa mangkrak

Klo sama ini pasti bakal dilanjutin atau kelola wkwkwk",,@jimbotama,,"Replies: , Retweets: , Likes: ",1
@BBebas2,"Bukankah dari awal pemerintahan 2 periode sebelumnya juga sudah menghamburkan uang

Kereta cepat,
IKN dengan patung-monumen, serta rumah dinas menteri
Tol laut,

Semakin banyak proyek dengan nominal trilyunan

Semakin mudah anggaran ditilep secara legal

modal pemilu berikut nya",,@kompascom,,"Replies: , Retweets: , Likes: 1",0
@bill_gatell,"proyek IKN planing, anggaran, dll, dilakukan terbuka dan disetujui bersama dalam Rapat Paripurna DPR RI.
MBG.???? sekelas menkeu aja gk tau ada APBN yg digunakan triliunan.
fatalanya, mayoritas yg mendukung rencana keduanya adalah orang2 dengan pendidikan yg absurd.",,@mynameis4ce,,"Replies: , Retweets: , Likes: ",0
@mikachi_ara,Iya lagi awowkwkwkwk  jujurly IKN itu ngabisin anggaran doang. Masih banyak jalan di Kaltim yg jelek,,@padukaume,,"Replies: , Retweets: , Likes: ",0
@CahAngo45022699,"MBG sama dgn IKN
Klu Dadang brani bilang setor Jokowi, palagi IKN yg anggaran lbh besar dr MBG, setorannya lbh bnyk
Yg nikmati setoran skrg enk duduk manis smbil lihat para tumbalnya di pesakitn n rkyt yg ngamuk
#stopmbg #stopkdmp #malingberkedokgizi #makzulkangibran
#adilijokowi",,,,"Replies: , Retweets: 1, Likes: 2",0
@abdularief101,Enggak. Refokusing anggaran kcic dan ikn di tahun 2019 an,,@knapasilo,,"Replies: , Retweets: , Likes: 1",0
@abdularief101,Refokusing anggaran ke IKN dan KCIC waktu itu. Plan awalnya Lhokseumawe - dumai. Tapi banyak yang berhenti,,@safwanxdesign,,"Replies: , Retweets: , Likes: ",0
@karirfess,"- Megawati Soekarnoputri  
BLT Program (Direct Cash Assistance) and post-crisis economic stabilization.

- Susilo Bambang Yudhoyono  
BBM Subsidy Program and mass toll road infrastructure.

- Joko Widodo  
IKN Project (Nusantara Capital City) and massive infrastructure",,@karirfess,,"Replies: 5, Retweets: 6, Likes: 55",1
