Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement
@arinta_nada,"Pemberantasan judi online terus diperkuat lewat langkah terukur Komdigi. Bukan hanya memblokir situs, tapi memutus jaringan yang merugikan masyarakat. Pendekatan strategis ini menunjukkan keseriusan negara menjaga ruang digital tetap aman. #KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: "
@ngecace,"Pak Budi Arie ini ga ada salahnya tapi dicari2 sama pemerintah skrg.
Padahal dirinya adalah pelopor pemberantasan judi online dan koruptor di komdigi..
Dia sengaja menitipkan orang kepeprcayaannya unt membongkar itu semua,lah kok malah mau ditersangkakan",,@DarsAlexandra1,,"Replies: , Retweets: , Likes: "
@JoinNkri,"Presiden Prabowo mendukung proses hukum terhadap oknum pejabat Komdigi yang terlibat judi online. Presiden Prabowo memiliki komitmen tegas untuk memberantas judi online. Bahkan, pemberantasan judi online di kalangan masyarakat ini menjadi salah satu prioritas.

#DukungPrabowo",,,,"Replies: , Retweets: , Likes: 1"
@tommyyy_shelbyy,"Bersama-sama mendukung pemberantasan praktik judi online yang merusak moral dan kesejahteraan masyarakat 

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas 
https://
x.com/ChristiAgui789
/status/1854409129261199664
…",,,,"Replies: , Retweets: , Likes: 1"
@Monikanihil,Pentingnya Mendukung Pemberantasan Praktik Judi Online. #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas,,,,"Replies: , Retweets: 1, Likes: "
@BadangSetiawan,"Pentingnya Mendukung Pemberantasan Praktik Judi Online
#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: "
@bontang_barat,Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi,,,,"Replies: , Retweets: , Likes: 2"
@tatisamhadi,"Pemberantasan Judi Online
Lindungi Bandar Judi Daring, 10 Pegawai Kementerian Komdigi Ditangkap
Dari 11 orang tersangka, 10 di antaranya adalah pegawai Kementerian Komunikasi dan Digital.
Baca Kompas

https://
kompas.id/baca/metro/202
4/11/01/lindungi-bandar-judi-online-10-pegawai-kementerian-komdigi-ditangkap?open_from=Section_Terpopuler
…

@hariankompas",@hariankompas,,,"Replies: , Retweets: , Likes: "
@rafijarjit68,"Kasus judi online Komdigi membuahkan Vonis Keponakan Mega 7 tahun. Fokus harus pada pemberantasan sindikat, bukan pada wacana politik seputar Partai Mitra Judol 
https://
indopolitika.com/ponakan-megawa
ti-alwin-jabarti-kiemas-jadi-tersangka-kasus-judul-di-komdigi-ini-perannya/
…",,,,"Replies: , Retweets: , Likes: "
@ichaswe,"Presiden Prabowo tekankan Pentingnya Pemberantasan Praktik Judi Online

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: "
@jabarprovgoid,"Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring.",,,,"Replies: 2, Retweets: , Likes: "
@BadangSetiawan,"Dukung Pemberantasan Praktik Judi Online
#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: "
@Fatimah81819162,Astagfirullahaladzim...400.000 Pelajar di Bawah Umur 20 th Terpapar Judi Online bukan jumlah sedikit. Presiden Prabowo tlh perintahkan pemberantasan Judol sampai ke akar2nya. Kunci kebijakan ada di Komdigi. Qta brharap  Budi Arie bertgjwb atas maraknya Judol,,,,"Replies: , Retweets: 1, Likes: 2"
@diktatorbaik,legislatornya juga dongok skala prioritas utk saat ini komdigi koordinasi sama menkeu bikin program pemberantasan judi online biar tuh rupiah kaga lemah soalnya itu duit ngalir ke luar,,,@txtdrimedia,"Replies: , Retweets: , Likes: "
@Zulkarnaiinnnnn,"pemberantasan judi online tidak bisa dilakukan secara sektoral, melainkan memerlukan sinergi lintas lembaga negara, termasuk komdigi, ppatk, aparat penegak hukum, serta institusi keuangan, #KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: "
@Vhienaiueo,"Pentingnya Mendukung Pemberantasan Praktik Judi Online

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: 1, Retweets: , Likes: "
@3Humas,"Judi online selalu bikin bangkrut karena sistem algoritmanya telah diatur agar bandar selalu menang, sementara pemain dijebak oleh kemenangan semu di awal untuk memicu kecanduan psikologis. Akibat efek manipulasi otak yang terus merasa ""hampir menang"", pecandu akan terjebak dalam",,,,"Replies: , Retweets: , Likes: 1"
@pemkabpasuruan_,"Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring. 

#AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol",,,,"Replies: , Retweets: , Likes: "
@miendyoe,"Berantas judi online tanpa pandang bulu,Menkomdigi Meutya Hafid nonaktifkan 11 pegawai yang terlibat kasus hukum

Upaya ini merupakan langkah awal sebagai bentuk komitmen Kementerian Komdigi dlm upaya pemberantasan judi online serta menjaga integritas dan kredibilitas institusi.",,,,"Replies: , Retweets: , Likes: "
@SuraaaD1979,"Lu lebih percaya Komdigi yang ngasih alasan belibet dalam pemberantasan judi online, atau STEAM yang literally menang di pengadilan melawan Rotschild?",,@pak_erte92,,"Replies: 1, Retweets: , Likes: 2"
@milikity_81863,"Komdigi tidak main-main: ribuan rekening judi online sudah diserahkan ke PPATK untuk penyelidikan lebih lanjut. Seriusin terus upaya pemberantasan
#KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: "
@backproperties,"Demi masa depan yang lebih baik, kita dukung pemberantasan judi online! Lindungi diri dan orang-orang terdekat dari dampak negatifnya  

#IndonesiaBersih #PrabowoBersamaKita #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: "
@Arus_Balik1n,Komdigi di bawah kepemimpinan Meutya Hafid mencatatkan capaian signifikan dalam pemberantasan aktivitas ilegal di ruang digital dengan memblokir lebih dari 3.000.000 situs judi online.,,,,"Replies: 1, Retweets: , Likes: "
@LovaHandayani,"Saat ini komdigi sudah sikat 2,4 juta judi online. Bukti komitmen pemerintah dalam menciptakan ruang digital yg sehat dan produktif. Masyarakat sudah semakin lega dgn di gencarnya pemberantasan judol ini #KonsistenBerantasJudol",,,,"Replies: , Retweets: , Likes: "
@polsekanggana_,"*Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi*

Jakarta – Wakil Ketua Komisi III DPR Ahmad Sahroni menyampaikan apresiasi kepada Polri atas penetapan 11 orang sebagai tersangka dalam kasus judi online, termasuk sejumlah pegawai Kementerian Komunikasi dan",,,,"Replies: , Retweets: , Likes: "
@MatiPocong1,"Judi Online bikin sengsara dan merusak Nalar!!  Karena itulah sangat Penting bagi masyarakat Indonesia untuk Mendukung Penuh Pemberantasan Praktik Judi Online Oleh Pemerintahan Presiden Prabowo Subianto  ini. 

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: "
@VivaJatim,"Wamen Komdigi Nezar Patria dukung penuh pemberantasan judi online di kalangan ASN dan masyarakat.
Perputaran uang judol: Rp 400T! Tanpa tindakan, bisa capai Rp 700T.
selengkapnya:

https://
jatim.viva.co.id/kabar/16248-ko
mdigi-dukung-upaya-pemerintah-daeran-berantas-judol-di-kalangan-asn
…
#AntiJudol #ASN #LiterasiDigital #JudiOnline",,,,"Replies: , Retweets: , Likes: "
@Media_Asuransi,"Menteri Komunikasi dan Digital Meutya Hafid menemui Kejaksaan Agung untuk membahas program besar terkait pemberantasan judi online.

https://
youtu.be/HmSdmV3VIJk
#jaksaagung #komdigi #meutyahafid #judionline",,,,"Replies: , Retweets: , Likes: "
@Akomeng6,"Yes!...  Kita kita dukung (Komdigi) melawan tipu-tipu Jud0L.

Kementerian Komunikasi dan Digital mengungkapkan trus menabuh genderang perang terhadap pemberantasan praktik judi online 

#PrabowoMendahulukanRakyat
Dilan Vanessa Deep Seek Ojol Pagiii 
Ubur #2egin4Cantik #TimnasDayp",,,,"Replies: 1, Retweets: 3, Likes: 3"
@Dewisarita62,"Judi Online bikin sengsara Lur. Karena itulah sangat Penting bagi Kita untuk Mendukung Pemberantasan Praktik Judi Online
Oleh Pemerintahan Presiden Prabowo Subianto 

#JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas",,,,"Replies: , Retweets: , Likes: "
@aktualofficial,"Komdigi Kumpulkan Masukan Nasional untuk Merumuskan Strategi Pemberantasan Judi Online

Forum tersebut bertujuan untuk menjaring masukan yang komprehensif bagi penyusunan kebijakan pemberantasan perjudian daring.

#Komdigi #JudiOnline #RuangDigital #Aktualcom",,,,"Replies: , Retweets: , Likes: "
@HarcumTj,Masa depan cerah Indonesia tanpa judi online. Mari kita dukung pemberantasan praktik ini! #JudiOnline #Judol #Komdigi #SitusJudi #BandarJudi #IndonesiaEmas,,,,"Replies: , Retweets: , Likes: "
@Harian_Jogja,"Pemberantasan Judi Online, Pemblokiran Disebut Kementerian Komdigi Tidak Manjur",,,,"Replies: , Retweets: , Likes: "
@CariSini79113,"Lagi rame banget! POV Warga Komentari Komdigi Blokir Cloudflare Karena Gabisa Berantas Judi Online! Solusinya kok malah blokir platform yang kita pakai buat kerja dan belajar? Fokus utamanya harusnya ke pemberantasan, bukan blokir yang salah sasaran!  #Komdigi #Kominfo #Blokir",,,,"Replies: , Retweets: , Likes: "
@detikinet,"Grab dan OVO dukung pemerintah dalam pemberantasan judi online. Mereka aktif memonitor dan memblokir transaksi terkait judi, sesuai arahan Menkomdigi.",,,,"Replies: , Retweets: , Likes: "
@detikinet,Menkomdigi Meutya Hafid menandatangani Instruksi Menteri Komunikasi dan Digital Nomor 2 Tahun 2024 terkait Upaya Mendukung Penegakan Pemberantasan Judi Online.,,,,"Replies: , Retweets: , Likes: "
@25054af33038475,Knp Bu.. untuk memberantas judi online harus melibatkan banyak orang dan banyak organisasi...? Apa nggak cukup dengan polri dan kementerian komdigi..? Sepertinya ibu ini ingin membebankan pemberantasan judi online ini kepada banyak pihak....?,,@geloraco,,"Replies: , Retweets: , Likes: "
@daulatdotco,"Pusat Pelaporan dan Analisis Transaksi Keuangan (PPATK) mengungkapkan, terdapat indikasi sindikat judi daring (online) menggunakan mata uang kripto guna menyamarkan transaksi.


https://
daulat.co/polhukam/12383
0641/selama-2024-duit-depo-judi-online-tembus-rp-43-triliun-pemberantasan-judol-masih-sebatas-pencitraan
…

#JudiOnline #PPATK #judol #Komdigi",,,,"Replies: , Retweets: , Likes: "
@Harian_Jogja,"Pemberantasan Judi Online, Pemblokiran Disebut Kementerian Komdigi Tidak Manjur 
https://
ototekno.harianjogja.com/read/2025/07/0
5/503/1219544/pemberantasan-judi-online-pemblokiran-disebut-kementerian-komdigi-tidak-manjur
…",,,,"Replies: , Retweets: , Likes: "
@berita_keadilan,"https://
beritakeadilan.com/news-75884-dpr
-ri-dukung-polri-guna-pemberantasan-judi-online-di-komdigi
…

#beritakeadilan #judionline #polripresisi #poldametrojaya #DPR #DKIJakarta 
@DPR_RI
 
@DivHumas_Polri
 @poldametrojaya 
@Poldametrojaya_
 
@kemkominfo","@DPR_RI, @DivHumas_Polri, @Poldametrojaya_, @kemkominfo",,,"Replies: , Retweets: , Likes: "
@hardiansah82021,"Sebelum bilang sulit diberantas, masyarakat tentu berhak bertanya: apakah pekerjaan Anda sudah baik? Apakah kinerja Komdigi memang benar-benar sudah maksimal? Bagaimana sistem kerja untuk memberantas judi online?

baca-selengkapnya 
https://
affiliasi.online/blog/pemberant
asan-judol-di-indonesia
…
#Indonesia #InfoBandung",,,,"Replies: , Retweets: , Likes: "
@polres_tanimbar,"*Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi*

Jakarta – Wakil Ketua Komisi III DPR Ahmad Sahroni menyampaikan apresiasi kepada Polri atas penetapan 11 orang sebagai tersangka dalam kasus judi online",,,,"Replies: , Retweets: , Likes: 1"
@dionwijaya7780,Upaya pemberantasan judi online,,,,"Replies: , Retweets: , Likes: "
@jani_jadul,Kolaborasi antar-instansi makin kuat: Meutya Hafid (Komdigi) menegaskan bahwa pemberantasan judi online melibatkan teknologi & lintas sektor untuk dampak sosial yg lebih besar. #KonsistenBerantasJudol,,,,"Replies: , Retweets: , Likes: "
@hutapeacpg,"Apresiasi Tingkat tinggi kepada Menkomdigi Meutya Hafid yg menggandeng Polri dalam Pemberantasan Judi Online di Internal Kementerian Komdigi.Langkah Meutya Hafid WAJIB DIIKUTI oleh Para Menteri Kabinet Merah Putih yg lain,yg bekerja secara senyap dan ada hasil kerja tuk rakyat",,,,"Replies: , Retweets: , Likes: "
@fajaronline,"Pegawai Komdigi Jadi Beking, Fahira Idris: Pemberantasan Judi Online Harus Jadi Agenda Nasional",,,,"Replies: , Retweets: , Likes: "
@EICom2023,"Terkait pemberantasan judi online, kami telah melakukan pemblokiran terhadap 8.500 rekening. Sebelumnya sebesar 8.000 rekening dari data yang disampaikan oleh Kementerian Komunikasi dan Digital,"" ujar Dian dalam Konferensi Pers RDKB Desember 2024 .#ojk #judol #𝚋lokir# #Komdigi",,,,"Replies: , Retweets: , Likes: "
@akuratco,"BCA Terbanyak Dipakai Oknum Judol, Ratusan Rekening Bank Ini Bakal Diblokir Komdigi

Menteri Komunikasi dan Digital (Komdigi),  Meutya Hafid bersama Menko Polhukam Budi Gunawan, Menag Nasarudin Umar  dan Gubernur BI Juda Agung yang tergabung dalam Desk Pemberantasan Judi Online,",,,,"Replies: , Retweets: 3, Likes: 1"
@redaksihsb,"Polri Dapat Dukungan DPR Dalam Pemberantasan Judi Online di Komdigi 
https://
hariansinarbogor.com/2024/11/02/pol
ri-dapat-dukungan-dpr-dalam-pemberantasan-judi-online-di-komdigi/
…",,,,"Replies: , Retweets: , Likes: "
@PolsekKOBA,"Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi


https://
facebook.com/permalink.php?
story_fbid=pfbid0FXuBAPA63JnPZK5AsKFmnarL6HFAmnukTpNVNpYDgJgvvmnAeiCtJSsB5MLaUo8kl&id=100087561391783
…",,,,"Replies: , Retweets: , Likes: "
@Dr_Iswadi,"Berhasil Tutup 2,4 Juta Konten Judol, Akademisi Apresiasi Langkah Tegas Komdigi

Pemberantasan bukan hanya tindakan represif, tapi bagian strategi nasional lindungi gen muda dari dampak destruktif ruang digital


@prabowo
 
@gibran_tweet
 
@setkabgoid
 #SPBI","@prabowo, @gibran_tweet, @setkabgoid",,,"Replies: , Retweets: , Likes: 1"
@chio5595,Komdigi tak hanya patroli digital: ada Desk Pemberantasan Judi Online yang dibentuk untuk menangani konten ilegal secara strategis & terukur. #KonsistenBerantasJudol,,,,"Replies: , Retweets: , Likes: "
@nawabinekanews,"Usai menjalani pemeriksaan, Budi Arie memberikan tiga pernyataan terkait kehadirannya di hadapan penyidik. Dalam keterangannya, Budi menegaskan komitmennya untuk membantu pemberantasan judi online di Indonesia.


https://
nawabineka.com/usai-diperiksa
-bareskrim-polri-terkait-kasus-judol-komdigi-ini-kata-budi-arie/
…",,,,"Replies: , Retweets: , Likes: "
@OposisiCerdas,"Pegawai Komdigi Tersangka Judol, Kok Budi Arie Pernah Dapat Penghargaan Pemberantasan Judi Online? 
https://
oposisicerdas.com/2024/11/pegawa
i-komdigi-tersangka-judol-kok.html
…",,,,"Replies: 6, Retweets: 51, Likes: 68"
@Sebutaja_Mawar,"Dalam pemberantasan judi online OJK blokir 8500 rekening, pemblokiran judi online berdasarkan data dari komdigi 

STOP JUDI ONLINE!!
Mari bangun masa depan dengan kegiatan yang positif

Windah Arsenal Gaza Big News Pepaya #ceasifire Allahu Akbar Durian",,,,"Replies: 1, Retweets: 4, Likes: 4"
@detikinet,"Menkomdigi Meutya Hafid langsung dihadapkan ujian pertama dalam pemberantasan judi online (judol). Ampesnya, persoalan itu justru datang dari pegawai Komdigi.",,,,"Replies: , Retweets: 2, Likes: "
@Capitalisborju,"Ga usah ngibul susah payah deh, 

 Om Bowo, anak buah lu ngibul tuh... 

Masa beginian hrs gw yg ngajarin sih  !!  


https://
inet.detik.com/law-and-policy
/d-8117254/komdigi-ungkap-susah-payah-basmi-judi-online-ajak-warga-ikut-berperan
…

Komdigi mengajak masyarakat berperan dalam pemberantasan judi online.",,,,"Replies: 2, Retweets: , Likes: 3"
@pemkab_banyumas,"Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring.

#AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol",,,,"Replies: , Retweets: 1, Likes: 1"
@humas_res_sbb,"*Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi*


https://
instagram.com/p/DB5mS2Ovbg8/
?igsh=MW5vZWg2aHVvdTVtNA==
…",,,,"Replies: , Retweets: , Likes: "
@detikinet,"Kementerian Komdigi memblokir 5,5 juta konten judi online hingga Desember 2024. Wamenkomdigi Nezar Patria serukan kolaborasi untuk pemberantasan judi online. 
https://
inet.detik.com/law-and-policy
/d-7709858/makin-menjamur-komdigi-blokir-5-5-konten-judi-online-hingga-desember-2024?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1735557784
…",,,,"Replies: , Retweets: , Likes: 1"
@HSangasanga,"Polri Dapat Dukungan DPR dalam Pemberantasan Judi Online di Komdigi


https://
instagram.com/p/DB3Ck0Ap0Dm/
?igsh=ZXJncW51NWxobmVt
…

#PolresKukar #poldakaltim #divisihumaspolri #PolisiPenolongPresisi #InovasiProblemSolving",,,,"Replies: , Retweets: , Likes: 1"
@Bank_Joee_,"Komdigi sebagai portal utama Pemberantasan Judi Online .. 

Komitmen yg harus di dukung semua nya ... 
Lawan dan Berantas Judi Online

Wamen Angga Raka Dorong Pegawai Komdigi Komitmen Ikut Berantas Judi Online 
https://
holopis.com/2024/11/19/wam
en-angga-raka-dorong-pegawai-komdigi-berantas-judi-online/
… lewat 
@holopiscom",@holopiscom,,,"Replies: 1, Retweets: , Likes: 1"
@FMB9ID_,"Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring. 
#AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol",,,,"Replies: , Retweets: , Likes: "
@OposisiCerdas,"Pemberantasan Judi Online di Kementerian Komdigi cuma Lipstik 
https://
oposisicerdas.com/2024/11/pember
antasan-judi-online-di.html
…",,,,"Replies: , Retweets: 16, Likes: 23"
@muannas_alaidid,"https://
news.detik.com/berita/d-76162
11/menteri-meutya-apresiasi-polri-amankan-pegawai-komdigi-terkait-judi-online
…

Menteri Komdigi Meutya Hafid buka suara soal pegawai di kementeriannya diamankan terkait judi online. Meutya berkomitmen mendukung pemberantasan judi online.",,,,"Replies: 1, Retweets: 5, Likes: 8"
@beritaKBR,"https://
kbr.id/berita/terbaru
/diperiksa-terkait-judi-online-budi-arie-saya-bantu-polisi
…

""Sebagai warga negara yang taat hukum, saya berkewajiban untuk membantu pihak kepolisian dalam penuntasan pemberantasan kasus judi online di lingkungan Komdigi. Yang kedua pemberantasan judi online merupakan tugas kita bersama sebagai sesama anak bangsa,""",,,,"Replies: , Retweets: , Likes: "
@Bernama_Radio,Platform media sosial boleh dikenakan penalti sehingga RM10 juta sekiranya gagal menangani kandungan atau iklan berkaitan judi dalam talian - Jurucakap Kerajaan MADANI yang juga Menteri Komunikasi Datuk Fahmi Fadzil,,,,"Replies: , Retweets: , Likes: 1"
@Harian_Jogja,"""Sebagai warga negara yang taat hukum, saya berkewajiban untuk membantu pihak kepolisian dalam penuntasan pemberantasan kasus judi online di lingkungan Komdigi,"" kata Budi Arie ketika ditemui di Gedung Bareskrim Polri, Jakarta, Kamis sore.",,@Harian_Jogja,,"Replies: 1, Retweets: , Likes: "
@beritaKBR,"Perang terhadap judi online memasuki babak baru dengan terbongkarnya keterlibatan pegawai  Komdigi. Mereka diduga menyalahgunakan wewenang untuk meraup keuntungan. 

Apa tindak lanjutnya? Bagaimana arah pemberantasan judol ke depan? 

BESOK di #RuangPublikKBR bersama 
@CISSReC",@CISSReC,,,"Replies: , Retweets: , Likes: 2"
@akuratco,"Deretan Selebriti dan Influencer yang Pernah Terseret Kasus Judol

Pemberantasan judi online alias judol kini tengah dilakukan besar-besaran. Kementerian Komdigi lanjut memblokir konten dan menindak akun yang berafiliasi dengan judol, termasuk akun para influencer.

Sebelumnya,",,,,"Replies: 3, Retweets: 22, Likes: 29"
@GolkarSolid,"Meutya Hafid Minta Jajaran ASN Komdigi Tandatangani Pakta Integritas Pemberantasan Judi Online

#partaigolkar #golkarindonesia 
#bahlillahadalia #golkarpedia 
#HUTKe60Golkar


https://
golkarpedia.com/meutya-hafid-m
inta-jajaran-asn-komdigi-tandatangani-pakta-integritas-pemberantasan-judi-online/
…",,,,"Replies: , Retweets: 1, Likes: 1"
@jawapos,"Komitmen Berantas Judol di Indonesia, Komdigi Perkuat Desk Pemberantasan Judi Online",,,,"Replies: , Retweets: , Likes: "
@nawabinekanews,"Kementerian Komunikasi dan Digital (Komdigi) terus meningkatkan upaya pemberantasan judi online yang semakin meresahkan masyarakat dengan teknologi AI dan membentuk Tim Khusus! Seperti apa perannya?


https://
nawabineka.com/komdigi-intens
ifkan-perang-melawan-judi-online-dengan-teknologi-ai-dan-tim-khusus/
…",,,,"Replies: , Retweets: , Likes: "
@inilahdotcom,"Anggota Komisi I DPR RI Fraksi Partai Kebangkitan Bangsa (PKB), Syamsu Rizal meminta Polri terus memperkuat kerja sama dengan Kementerian Komunikasi dan Digital (Komdigi) dalam upaya pemberantasan judi online (judol).

Dalam hal ini, Polri telah memblokir sebanyak 231.517 konten",,,,"Replies: , Retweets: , Likes: "
@PartaiSocmed,"INFO A99!! 
POLRI has just arrested officials from Komdigi (formerly Kominfo) under the Dirjen APTIKA in connection with online gambling. There are still several others who are currently being hunted down! 
They should be at the forefront of eradicating online gambling but",,,,"Replies: 275, Retweets: 616, Likes: 2.8K"
@PRFMnews,Komdigi Dukung Penuh Upaya Pemberantasan Judi Online dari Hulu Hingga Hilir,,,,"Replies: 3, Retweets: , Likes: "
@inilahdotcom,"Sebanyak sebelas orang ditangkap terkait kasus judi online, dan yang mengejutkan, sepuluh di antaranya adalah pegawai serta staf ahli di Kementerian Komunikasi dan Digital (Komdigi). Padahal, lembaga ini seharusnya menjadi garda depan dalam pemberantasan judi online di Indonesia!",,,,"Replies: 1, Retweets: 1, Likes: 2"
@humasjabar,"Judi Online Bikin Bangkrut 

Kementerian Komdigi telah menghapus 7.176 konten yang memuat perjudian online hingga 6 November 2024, sebagai bagian dari upaya pemberantasan judi daring.

#AntiJudiOnline #PemberantasanKontenNegatif #Komdigi #StopJudiOnline #JudiBikinBobol",,,,"Replies: , Retweets: , Likes: "
