Author_Username,Tweet_Text,Mentions,Reply_To,Quote_Tweet_Of,Engagement,Sentimen
@Larq_qq,"Dengan disahkannya RUU TNI dan RUU POLRI, reformasi telah dipastikan mati, ruang gerak sipil semakin terbatas, supremasi sipil sebagai bayaran atas rezim otoriter, NEGARA INDONESIA adalah negara DEMOKRASI, militer dan rezim TIDAK BER-HAK membatasi ruang aspirasi rakyat sipil ! ",,,,"Replies: , Retweets: , Likes: ",0
@1119unstable,"dapur, kampus, sekolah jg bkn tempat polisi dan tni.
adanya RUU dwifungsi ABRI dan POLRI bisa2 kepala sekolah dipimpin mereka. cukup ngelola warung tteokbokki aja pls",,,@txtdaritaxpayer,"Replies: , Retweets: , Likes: ",0
@vanalalatte,dampak dari pengesahan RUU TNI ga sih? pd akhirnya rakyat berjuang sendiri ,,@idbaruid,,"Replies: , Retweets: , Likes: ",0
@Dara_Cega,"Yang rakyat unginkan RUU perampasan aset koruptor. 

Eh yang di golkan pemerintah RUU Polri, TNI, pentingnya buat rakyat apa.. 
Dasar Rezim Otoriter dan korup",,,,"Replies: 7, Retweets: 13, Likes: 26",0
@miftah_arief,"Ngomongin Rahmatan Lil alamiin?
Yang menyusahkan orang mencari nafkah itu RUU TNI Polri terbaru, dimana yang memperbolehkan aparat aktif bisa merangkap jabatan. Di kritik banyak aturan, giliran ganti kebijakan diem2!!! Banci",,@BANGSAygSUJUD,,"Replies: , Retweets: , Likes: ",0
@miftah_arief,"Kritis tuh turun kejalan, gimna kondisi rakyat yg susah!! Di kota aja perputaran ekonominya terjun payung, apakabar yg di desa!!
Ga usah ngomongin bangsa dah, mending lu instruksi RUU TNI Polri terbaru! Banci
 Hari gini ngomong data",,@tekarok007,,"Replies: 2, Retweets: , Likes: 1",0
@miftah_arief,"Maksud bapak Indonesia kuat tuh siapa?
Yang jelas2 berizin untuk menyampaikan aspirasi malah ditahan. Yang diem  ngumpet2 mengesahkan RUU TNI Polri dan menaikkan harga BBM, sah-sah aja!!!
Allah balas dzalimnya kalian dengan sakit seumur hidup dan gada obatnya. Aamiin",,@DivHumas_Polri,,"Replies: , Retweets: , Likes: ",0
@miftah_arief,"@Divpropam
 
@DivHumas_Polri
 
@Puspen_TNI
 moso iyoo kaya gini jadi pidana? RUU TNI&Polri terbaru aja membolehkan merangkap jabatan, apakabar lahan sawitnya Prabowo di Aceh dan sekitarnya?
Rakyat dibuat susah, dzalim kalian! Semoga tanah ga mau terima jasad kalian. Aamiin","@Divpropam, @DivHumas_Polri, @Puspen_",@Inie_UtyCute,,"Replies: , Retweets: , Likes: 4",0
@hujanyangturun_,"omong kosong demo santun. mereka aja bikin RUU TNI & Polri engga ada unsur partisipasinya dari rakyat dan akademisi, main ketok palu senyap aja. cuihh. makanya emang harus dibuat shock wave gini, tapi bukan berarti harus chaos.",,@sweetapril2010,,"Replies: 1, Retweets: , Likes: 1",0
@alfatih212426,"RUU TNI dan Polri menjadikan aparat sebagai alat rezim penguasa Antek Asing Aseng Investasi di jadikan PSN

https://
facebook.com/share/r/1EHYt7
vSRJ/
…",,,,"Replies: , Retweets: 1, Likes: 1",0
@DanDitanyaa,JUJUR BANYAK CREATOR LUAR INDO YG JAUH LEBIH AWARE DRIPADA KEBANYAKAN RAKYAT INDO NJIR?? BAHKAN TEMEN PH GW WAKTU ITU REACH OUT PAS MASA2 INDO GAWAT DARURAT PAS RUU TNI AWAL DIAJUIN NJIRR,,,@reviewbylia,"Replies: , Retweets: , Likes: ",0
@primas_k,"RUU TNI dan Porli bisa langsung di sahkan diam diam. 

Pembohong kau",,@herculep638,,"Replies: , Retweets: , Likes: ",0
@rtnangg,udah deact diaa wkwk gatau kamu mutualan apa ga tuhh.. pas yg ruu tni tu lhoo ,,@madeleivraie,,"Replies: 1, Retweets: , Likes: ",0
@txtipb,"Sepertinya Dwi Fungsi TNI POLRI saat ini perlahan mulai terasa.

Pengesahan UU TNI dan Polri yg terkesan mendadak seakan mengamini hal tersebut.

Oposisi pun ompong, tak ada taring untuk menolak ataupun menyanggah RUU sebelum disahkan menjadi UU.",,@Reuters,@yudhabjnugroho,"Replies: , Retweets: 1, Likes: ",0
@Asmarawww_,"Dari tahun lalu ini taktiknya, jaman tolak RUU TNI depan dpr juga lalinnya ga ditutup",,,@elisa_jkt,"Replies: , Retweets: , Likes: 1",0
@cukupsatukata_,"Kan udah enak RUU TNI, RUU POLRInya udah sahhhh menteppp harus kerja betol betol buat rezim zalim",,@itsquaileggs,,"Replies: , Retweets: , Likes: ",0
@xxitentacion,"Itulah kenapa RUU TNI POLRI digaspol keparat biar mereka bisa dibungkam dan dijinakkan. Bayangkan saja ada seseorang yang menghadiahkan mu sebuah rumah yang sangat besar tapi tugas mu hanya menghalangi kucing atau hewan² kecil yg mungkin akan masuk ke istana, gampang bukan???",,@tanyarlfes,,"Replies: , Retweets: , Likes: 1",0
@neuvillate,"Yang mau pulang ke arah taman puring (dan sekitarnya) dari daerah pulogadung, kalian bisa lewat matraman yang tembusannya velbak ygy. Waktu demo ruu dwifungsu tni, aku lewat situ aman, walaupun sedikit rame di matraman karena demonstran pada istirahat di sana",,,,"Replies: , Retweets: , Likes: ",1
@vanalalatte,"ga usah heran, ini kan karena udah disahkannya RUU TNI. ya buat masa skrg, rakyat bener bener berjuang sendiri",,@termulyono_,,"Replies: , Retweets: , Likes: 16",1
@BayuNstn,"Menurut gue dia sadar. Bahkan Jokowi pun sadar kalo dia banyak yg demo. Makanya kpk dilemahin, polisi/TNI diperkuat, RUU yg menguntungkan mereka disahkan dll. 

Rakyat tanpa sadar dilemahkan dari jaman Jokowi, diperparah di jaman Prabowo. Emg bangsat aja mereka. Neraka menanti.",,,@aldapstsr,"Replies: , Retweets: , Likes: ",0
@ArjunaInteristi,"Tuntutan Mahasiswa harus fokus; 
1. Turunkan Harga BBM
2. Hapus MBG dan Kopdes
3. Sahkan RUU Perampasan Aset
4. Kembalikan TNI ke Barak",,@watchdoc_ID,,"Replies: , Retweets: , Likes: 6",0
@RaizenWhite,"Paling gk kalau Anies/Ganjar, pilihan menterinya kemungkinan lebih bermutu.
Gk ada jg tuh RUU TNI & RUU POLRI jadi amburadul kaya sekarang.",,@veycutness,,"Replies: , Retweets: , Likes: ",1
@pipiuwpi,Takut banget sama demo hari ini disaat RUU POLRI dan TNI sudah disahkan. Semoga Tuhan melindungi kalian semua. Stay safe dan hati-hati ya,,,,"Replies: , Retweets: , Likes: 2",0
@itshereawaa,"demo buat RUU perampasan aset susahnya minta ampun, pemerintah buat mengesahkan. RUU Polri, RUU TNI, oke gas oke gas aja. Emang kalo menguntungkan ke lu lu pada digas, gausah jadi pejabatlh anjing. Ngerugiin rakyat",,,,"Replies: , Retweets: , Likes: ",0
@peggypingkan,Jadi inget pernah ke-suspend gara2 naikin ht batalkan ruu tni ,,,@kalistohenituse,"Replies: , Retweets: , Likes: ",0
@peggypingkan,Akun ini pernah ke-suspend gara2 naikin HT batalkan RUU TNI ,,,,"Replies: , Retweets: 1, Likes: ",0
@poetsmonet,"ga kebayang kalo bener RUU TNI disahkan, toh gak disahkan saja sudah se brutal ini.",,,@semarui,"Replies: , Retweets: , Likes: ",0
@mignonetteruby,"Bagian manasih yg membaiknya? Pengesahan ruu polri itu membaik? TNI represif membaik? Mana coba bagian membaiknya? APBN masih dihambur-hamburkan, kurs masih ga stabil, bbm dan pokok lain naik. Pake kacamata sebelah mana liatnya.",,@ruliemaulana,,"Replies: , Retweets: , Likes: 14",0
@baduthazza,ah anjer demonya 2 hari setelah ruu polri tni itu disahkan takut bgt gw yg gw kenal diculik,,,,"Replies: , Retweets: , Likes: ",0
@aditiyabi,"itu kayanya demo tahun kmrn deh, pas ruu tni kalo ga salah",,@Opposite6888,,"Replies: , Retweets: , Likes: ",0
@setyodiwantoro,Lu boleh oposisi dan benci pemerintah tapi jangan bohong dan asbun. Itu foto tahun lalu pas demo RUU TNI.,,,@Opposite6888,"Replies: , Retweets: , Likes: ",0
@annonsx,"Gue gaktau besok bakal kayak apa, yg pasti ditengah RUU TNI dan RUU Polri itu gue cuma bisa berdo'a semoga demonstran yg turun besok sehat selamat pulang ke rumah",,,,"Replies: , Retweets: 1, Likes: 2",0
@mashleha,"ruu dwifungsi tni dan polri gercep disahin krn nguntungin pemesan, ruu perampasan aset diundur terus krn rugiin dia dan kaumnya ",,,@herculep638,"Replies: , Retweets: , Likes: ",0
@MSena060,Kenapa RUU POLRI Dan TNI kok bisa cepat ada apa ini?,,@herculep638,,"Replies: , Retweets: , Likes: ",0
@batmann2023,Kalah cepat dg RUU TNI & RUU Polri,,@goonjol,,"Replies: , Retweets: , Likes: 1",0
@ttwilightae,"RUU TNI bisa kilat begituh, giliran buat kepentingan rakyat banyak malah nunggu yajuj majuj turun dulu",,,@herculep638,"Replies: , Retweets: , Likes: 1",0
@amoornv,ruu tni ama polri dilolosin giliran perampasan aset koruptor aja mangkrang. asu asu,,,@yappingfess,"Replies: 1, Retweets: , Likes: ",0
@Ixxa12345,Tahun kapan? Ini DPR dikasih umur 1000 tahun juga ga akan dikerjain. Liat RUU polri ama TNI sekejap mereka kerjain.,,@herculep638,,"Replies: , Retweets: , Likes: ",0
@risainnn,giliran RUU TNI sama polri aja cepet bgt bikin nya,,@herculep638,,"Replies: , Retweets: , Likes: ",0
@LilOoowls,"Fokus aja ke boti terus guys ngapain peduliin kasus yang lagi naik persetan dolar naik, RUU TNI, RUU POLRI Biarin aja guys, biarin aja pejabat pada korupsi itu semua gak penting.

YANG PENTING MENGHINA BOTI
#BOTIMATI",,,@tanyarlfes,"Replies: , Retweets: , Likes: ",0
@7why_,"lagi rame banget seliweran soal RUU Polri & TNI. tapi jujur, insight dari sosiolog Oki Madasari di fokum UII waktu lalu bikin mindblowing banget.
ternyata pelan-pelan ada 5 are dimana ""militerisme"" merayap masuk ke ruang publik sipil kita. kepikiran gak sih? coba kita bedah",,@7why_,,"Replies: 1, Retweets: , Likes: ",0
@BoilsUp,"Saya rangkum ya permasalahan hari ini:
1. BBM naik
2. Listrik padam bergantian
3. MBG dikorupsi
4. RUU Polri disahkan
5. BPJS nunggak utang 2T
6. TNI gusur rumah warga
7. Rupiah masi lemah
8. Presidennya masih prabowo",,,,"Replies: , Retweets: 1, Likes: 2",0
@memeklohen,ex oomf yang saking pinternya sampe dpt beasiswa ke aussie tp ngevote prabowo dan dukung ruu tni,,,@kraeiion,"Replies: , Retweets: , Likes: 2",0
@reyycintahoon,"Rupiah udah 18rb per dollar, ruu tni polri udah disahkan masih sibuk ngapain seksualitas orang , giliran demo sibuk tumbalin mahasiswa. Gimana mau maju, pikiran manusia manusia nya aja 11/12 sama pemerintah",,,@tanyarlfes,"Replies: 1, Retweets: , Likes: ",0
@auroraiga,"Adek-adek UI gak mau belajar kah sejak kemarin aksi Indonesia Gelap, Tolak RUU TNI, sampai wafatnya Affan Kurniawan itu kita bersepakat dengan sipil lainnya untuk menanggalkan almamater?

Sebab yang resah tak hanya kaum kalian. Buruh, pedagang, dan lainnya pun banyak yang resah.",,,@rakhajuliantoo,"Replies: , Retweets: , Likes: ",0
@hi_dewoadi,"Dua malam lalu disahkan: RUU TNI

Semalam disahkan: PERTAMAX dari 12.300 ke 16.250 lalu PERTAMAX GREEN dari 12.900 ke 17.000 sedangkan PERTALITE sudah jarang.

Berita RUU TNI ditutupi sama berita kenaikan BBM, Ajaib sekali rezim ini!",,,,"Replies: , Retweets: , Likes: ",0
@jomkomvi,"Iya banyak, tinggal jeli aja tapi asal jangan nuduh. Pas di aksi RUU TNI aja intelnya bapak bapak setelan biasa",,@KueBoludarMusa,,"Replies: , Retweets: , Likes: ",0
@aeriiyaaaa,"SEMUA DIPAJAKIN
RAKYAT GAJI KECIL

BBM, BAHAN PANGAN, DOLAR NAIK!
POLISI BISA RANGKAP JABATAN
RUU DIUBAH SEENAK ENAKNYA POLISI NGURUSIN SAYUR MAYUR KEJAHATAN DIMANA MΑΝΑ
TNI NYA NGURUS KOPERASI
PRESIDEN NGURUS TELOR DADAR
WAPRES NGURUS SKINCARE PELAYANAN SIPIL LAMA DAN DIPERSULIT",,,,"Replies: 1, Retweets: , Likes: 7",0
@sosial77805,"Loh itu seninya, pemerintah kan milih keributan mana yg mau dibikin, ruu tni polri dwifungsi atau pertamax awokwokwok",,,@Boediantar4,"Replies: , Retweets: , Likes: ",0
@maurinzzz,"RUU TNI udah, skrg RUU POLRI",,,,"Replies: , Retweets: , Likes: ",0
@RifqiAthallahO,"Kayak permainan media ga ikut aja kak… Kemarin2 kan ttp ada yg protes dan demo kok, di bulan Maret ada, Oktober tahun lalu ada…

Tapi mana digubris? Baru digubris dengan represivitas kalo ramean, kayak aksi Agustus tahun lalu sama RUU TNI.

Yang kecil2? kaga diwaro anjir",,@rinigrace,,"Replies: , Retweets: , Likes: 3",0
@sosial77805,"Welcoming tni polri dwi fungsi

Kalian mikirin dolar naik, ihsg turun, pertamax naik, celotehan lucu pak pres 10+6=17, pikirin jg tuh RUU tni polri dwi fungsi",,,@sosial77805,"Replies: , Retweets: 1, Likes: 1",0
@yokrasivy,"Baca berita hari ini draining bgt, isinya lgbt lgbt lgbt. Lo pada bisa stop gasi? RUU TNI noh udh sah ",,,,"Replies: , Retweets: , Likes: ",0
@Robintschek_CIA,I'm talking about the August protests. The protests against RUU TNI and local election law basically resulted in nothing.,,@Robintschek_CIA,,"Replies: , Retweets: , Likes: 2",0
@deadlypoison19,"warga cari kerja sebiji udh tercepot2 persaingannya sampe bikin skck demi gaji umr itu. Sedangkan jengjeng muncul lah ruu polri disahkan yg bikin tni & polri jd bisa punya jabatan jg di ruang sipil. Niceee gan sundul gan, ampe umur brp gue bisa idup dengan keadaan kek gini",,,,"Replies: , Retweets: , Likes: ",1
@Gearda,"udah sulit. minimal tambahin:

“lalu UU ciptakerja, UU TNI dan RUU Polri kami batalkan. KPK saya kuatkan dan Bank Indonesia kembali independent”

wkwkwkw mimpi basah semua WNI",,@quimicaorgarsi,,"Replies: , Retweets: 3, Likes: 20",0
@pekerjakampus,"RUU TNI disahkan...
RUU Polri disahkan...
Dana Pendidikan dicuri MBG...
Rupiah semakin terpuruk...
Ekonomi semakin memburuk...
Buruh di upah murah...
Masyarakat ditindas...
Kemiskinan disepelekan..
Hutan dibabat...
Suara dibungkam...
Sipil terdesak...
Wallahi we're finished..",,,,"Replies: 9, Retweets: 41, Likes: 82",0
@serein_bleu,"ini yg dulu rapat RUU TNI/Polri sampe ngumpet² trs ketauan jurnalis, akhirnya jurnalisnya disiram air keras sampe buta itu bukan sih?? gen ask",,,@tempodotco,"Replies: , Retweets: , Likes: ",0
@poon_pp7,"RUU TNI dah disahkan, sekarang backingan kita cuma Allah",,@alientweets21,,"Replies: , Retweets: , Likes: ",0
@cealzpiey,"ni buat yg gatau, dampak dri ruu polri, dwifungsi tni aja udh bikin stgh gila..

iya tau fokusnya skrg jdi kebagi krna pertamax naik, tpi harus ttep kawal ruu setan ini",,,,"Replies: , Retweets: , Likes: 1",0
@irianidwi__,"see,,  kesalahannya ada di sistem pemilu kita, dan kesalahan itu di acc dpr mpr ituwajah asli parlemen legislatif & eksekutif. yg bisa nolong saat cuman yudikatif. ruu baru sah tni n pol itu alat buat jagain distribusi jalannya pemilu. se rakus itu kekuasaan buat 2029.",,@ardisatriawan,,"Replies: , Retweets: , Likes: 1",0
@Xuvianskii,"gini loh, dari awal demo tentang putusan MK lanjut RUU TNI dll kita udah ngingetin apa aja yg bakal terjadi kalo dia jadi presiden dan kebijakan nya terus dibiarin, tp apa ga sedikit dari masyarakat malah nyalahin yg demo, dan sekarang dah kaya gini nanyain kenapa ga demo",,@djokoscooter,,"Replies: 1, Retweets: 15, Likes: 155",0
@Larq_qq,"wow, sungguh perencana tata kelola negata yang bagus oleh rezim otoriter, dengan semua kreatifitasnya, seperti orang bangun tidur yang plonga plongo 

tiba tiba sahkan ruu tni
tiba tiba sahkan ruu polri
tiba tiba naikkan bbm tanpa pemberitahuan apapun",,@polisiolahraga,,"Replies: , Retweets: , Likes: 5",1
@kangdede78,"Bro, yg tiba-tiba memang bikin kesel: RUU TNI, RUU Polri, terus naiknya Pertamax. Wajar banyak yg ngehek.

Tapi Pertalite & Solar subsidi tetap Rp10.000 & Rp6.800, nggak naik. Yang naik cuma Pertamax nonsubsidi karena ikut harga dunia. Pemerintah jaga subsidi buat rakyat kecil",,@Larq_qq,,"Replies: , Retweets: , Likes: ",1
@itsmeones28,"Taukah kamu, SEMALAM DISAHKAN : HARGA PERTAMAX dari 12.300 ke 16.250, dan pertamax green dari 12.900 ke 17.000?

Sementara Pertalite sudah jarang.

2 MALAM LALU RUU TNI, SEMALAM ΝΑΙΚΚΙΝ HARGA INI

NANTI MALAM KIRA KIRA APA?",,,,"Replies: , Retweets: , Likes: ",1
@cujoyaa,"Iya pernah awkwowkwo. Trus akhirnya yaudah gua cuma ngeliatin doang, eh malah beneran makin bikin emosi. Kalo ga salah kejadian itu tuh pas RUU TNI. Eh sekarang malah nambah Polri. Ngentottt ngentot",,@danielumar_,,"Replies: , Retweets: , Likes: ",0
@Larq_qq,"yang ngehe pemerintah yang disalahin rakyat

RUU TNI TIBA TIBA
RUU POLRI TIBA TIBA 
NAIK BBM TIBA TIBA",,@kangdede78,,"Replies: 1, Retweets: , Likes: ",0
@glitchinmyvoid,Taun lalu RUU TNI sekarang RUU Polri jelas banget ni negara mau ke arah manaaa,,,,"Replies: , Retweets: , Likes: 1",0
@BolaNaga,Menaikkan harga bahan bakar secara diam diam itulah karakter rezim omon omon. Sama waktu rapat revisi RUU TNI diam diam juga digelarnya .,,,,"Replies: , Retweets: , Likes: ",0
@scorpionfavv,"kan pas ruu tni ramai, udh ada isu kemungkinan ruu polri di sah kan. eh kejadian kan sekarang??",,@wamadone,,"Replies: , Retweets: , Likes: ",0
@bbarbieie,"benerrrrr, lagipula dwifungsi ini melanggar dan melecehkan konstitusi. ruu tni aja dulu ditolak MK dan dikecam masyarakat. kok bisa kepikiran nge sah in sesuatu yg mereka sangat paham masyarakat ga akan suka",,@nanajaeuni,,"Replies: 1, Retweets: 2, Likes: 53",0
@downforsho,Kok ini ga ada yg demo? Ga kayak pas ruu tni kemarin. Apa jangan-jangan…….,,,@tempodotco,"Replies: , Retweets: , Likes: ",0
@Amal81gmailcom1,"Rapat omnibuslaw malam2.
Rapat ruu TNI mlam.
Rapat ruu polisi MLM.
BBM naik mlam

Negara kontol ",,@kalistohenituse,,"Replies: , Retweets: , Likes: ",0
@Azurrin01,"RUU TNI disahkan, RUU polri disahkan, kurs dollar-rupiah 18k, mbg dikorupsi, sekarang BBM naik...

Pengen berkata kasar gitu ke 02 voters, tapi masih gw tahan (gatau sampe kapan) ",,@ptrfu13,,"Replies: 1, Retweets: 2, Likes: 17",0
@anirbas1011,Disahkannya ruu tni Polri biar klo ada yg mencoba lengserin wowo bisa di tembak di tempat ya? STRESS GILE SEMUA ORG,,,,"Replies: , Retweets: , Likes: ",0
@kitkatmilkuat,"Ruu polri dan tni sudah di sahkan.
Sangat licikrakyat berjuang sendirian tanpa koalisi.
Persetan dengan pemerintah saat ini.",,,,"Replies: 1, Retweets: , Likes: 1",0
@rempeyek_kcng,"Udah lama kocak dari abis uu tni dirombak ulang, tambah ruu polri yang mau disahkan tahun 2025 tapi batal karna didemokan?!! Abis masyarakat dilemahkan?!? Akhirnya mereka beraksi ngesah-in uu tanpa sepengatuhan rakyat!!? Kalau demokrasi itu semua bersuara?!! Tapi ini TOLOL",,@palipurlarade,,"Replies: , Retweets: , Likes: 23",0
@faqueerilmu,"ga napsu mau gooning, buka twitter langsung isinya berita ruu tni polri
kontol emang",,,,"Replies: , Retweets: , Likes: ",0
@aiayaiahui,"ni dpr nambahin beban aja dahh, diem"" sah ruu tni diem"" sah ruu polrii. diem"" sah ruu perampasan asett baru benerrrr. aelahh ni kalian perwakilan siapa sihhhh.
parpol??",,,@txtdrimedia,"Replies: , Retweets: , Likes: 1",0
@terravoxo,Ruu tni sibal ,,,,"Replies: 1, Retweets: , Likes: ",0
@txtdarimaskael5,"within this economy we can say emang tuh orang2 maunya begitu, maunya nih negara pelan2 bergeser menjadi fasis seutuhnya

makanya pada ga nyuarain ini dan lebih milih mempersekusi queer ketimbang galakin ini (padahal bisa banget digalakin kaya pas RUU TNI kemarin)",,@hist0riann,,"Replies: , Retweets: 2, Likes: 94",0
@10969sxun_,Rakyat minta ruu perampasan aset malah ruu tni polri yg di sahkan emang negara badut,,@LambeSahamjja,,"Replies: , Retweets: , Likes: ",0
@cuankiepusdaii,"Gak ada oposisi di parlemen bikin UU yang kontroversi mudah lolos. Termasuk RUU Polri yang hari ini disahkan. Belum lagi jika ditarik ke belakang soal UU TNI. Pada akhirnya, mereka hanya akan mengeluarkan statement, ""kalo setuju gugat aja ke MK"". Polanya gitu terus",,@cuankiepusdaii,,"Replies: 1, Retweets: , Likes: ",0
@AdangS94,RUU polri lebih mudah disahkan soalnya yang demo pas RUU TNI sudah pada ditangkapin,,@koganenohikari,,"Replies: , Retweets: , Likes: 9",0
@ourjungvely,"Kmrn tni dwifungsi sekarang ruu polri
Cuma 2 itu yg di urusin selain sodara sodara nya. 
Rakyat yg lain masa bodoh",,,@tempodotco,"Replies: , Retweets: , Likes: ",0
@ssst_zy,"aku kayae sudah bilang kemarin, jgn cmn fokus ke ruu tni krna ruu polri lebih awikwok dan yak betul bakal disahkan tnpa perlawanan berarti",,,,"Replies: , Retweets: , Likes: ",0
@Bahlil_Bahlul,"feminist bilang akibat framing ke kaum LGHDTV, makanya disahkan.
eeh TOLOL perkumpulan pemburu lobang taik, mau atau gaknya bahas kaum laknat tetap bakalan disahkan. Memang aparat indo kek anjeng, buktinya RUU TNI aja sah meski udah di demo sampe makan korban.",,,@tempodotco,"Replies: , Retweets: , Likes: ",0
@boiebe,"Just in case kalian lupa, hal-hal yang berkaitan dengan isi RUU TNI dan RUU Porli itu berkaitan kuat dengan pelaksanaan RKUHAP itu sendiri. Mereka beneran melegitimasi penyelewengan hukum secara terang-terangan. Setan nih negara.",,@boiebe,,"Replies: , Retweets: 2, Likes: 60",0
@the_maoelana,"Pada 1 April 1999, Polri resmi keluar dari ABRI, sementara penamaan ABRI berubah menjadi TNI. Dan kebijakan dwifungsi dicabut.

Hari ini setelah 28 tahun reformasi, RUU Polri disahkan! Dan polisi aktif kembali bisa duduki jabatan sipil.

Kita tidak pernah belajar dari masa lalu!",,,,"Replies: , Retweets: , Likes: ",0
@boiebe,"RUU TNI > RUU KUHAP > RUU Porli. Anjir triple kill demokrasi. Dalam kurun waktu 1 tahun kecepatan yang gak wajar. makin keliahatan kalau rezim ini memang bertujuan untuk menghapuskan supremasi sipil.

Kalimat ini secara terang-terangan seperti negara nantangin rakyat sendiri.",,,@tempodotco,"Replies: 12, Retweets: 2.1K, Likes: 3.7K",0
